Target,Prompts,Response
1,What's the best thing that happened to you today so far?,Received a free coffee from starbucks.
2,"Though they are not perfect, I appreciate that my family...",Is always supportive.
3,What are three things you appreciate about where you are right now? ,"I appreciate my health, education and friendships."
4,I am grateful that I am healthy enough to...,to wake every morning and start a new day
5,"Which places (cities, beaches, etc...) do you most appreciate, and why? ",The beach becasue I find the sounds of waves crashing soothing
6,Though I may not be rich. I'm thankful that I have enough money to...,Afford my education 
7,"Which household items do you most appreciate, and why?",The couch because it's my favorite place to do anything 
8,"Though I sometimes take it for granted, I'm thankful for water because...",It helps me stay hydrated and healthy
9,What do you most appreciate about spending time in nature?,The beauty of nature 
10,What are some of the most fun expreiences you've had? What do you appreciate about them?,Trip to San Fransisco becasue it was spontaneous and lots of fun!
11,Today I appreciated countless things I percieved with my eyes including...,A puppy on ring road 
12,Today I appreciated countless things I percieved with my ears including...,Hearing my significant other say I love you 
13,Today I appreciated countless things I percieved with my tongue including...,Tasting my delicious blaze pizza
14,Today I appreciated countless things I percieved with my nose including...,Smelling in-n-out when passing by 
15,Today I appreciated countless things I percieved with my touch including...,My dog
16,"What's something you appreciated at work recently, and why?",The free snacks becasuse they come in handy 
17,"If you're unemployed, what are the benfits of having time away from work?",Spending time with my family 
18,I appreciate that it's never been hard for me to...,express my feelings 
19,When was the last time you appreciated a stranger and why were you grateful for them? ,Last week because they offered me a job opportunity 
20,"Though I don't have everythign I want, I do have many things I need, including...",Apple Airpods 
21,"Which TV shows, movies, or books recently touched, inspired or uplifted you? Why?",One Big Giant Rock becasue it has made me realize what type of impact humans have on the world 
22,"Even though my life isn't perfect right now, I'm fortunate to...",to go out with my frineds 
23,"Which musicians or songs are your favorites, and why?",Kid Cudi becasue his humming is out of this world 
24,What are some things you appreciate that start with the letter G?,Groceries
25,What are some things you appreciate that start with the letter R?,Rap
26,What are some things you appreciate that start with the letter A?,Amazon
27,What are some things you appreciate that start with the letter T?,Tattoos
28,What are some things you appreciate that start with the letter I?,Income
29,What are some things you appreciate that start with the letter D?,Double-double
30,What are some things you appreciate that start with the letter U?,University
31,What are some things you appreciate that start with the letter E?,Enterprises
32,I appreciate that everyday I get to,wake up
33,What was the best part of your childhood? What did you most appreciate about this?,Having no responsibilities becasue I literally had nothing to care about 
34,What I most appreciate about my significant other (or being single) is that...,She supports me 
35,What do you most appreciate about your body and why?,My legs becasue they help me get to where I need to go 
36,I'm grateful that I had the opportunity to learn how to ...,Program
37,What's one thing that has changed for the better since this time last year?,Mental stability 
38,I appreciate that I've had ___________ in my life for _________years because...,I appreciate that I've had my skateboard in my life for 12 years becasue I enjoy cruising around in it.
39,"What's your favorite season, and why do you look forward to it?",Summer becasue I love going to the beach
40,What do you most appreciate about this time of day/night?,Sunsets
41,"Dear younger seld, you deserve more credit than I've give you. Thank you for ...",Always pulling through even when you don't feel like it 
42,What do you appreciate about the person who helped you get through the hardest time in your life?,Their compassion
43,"The best thing in life are free, including ...",free samples
44,What do you most appreciate about being the age you are now?,Freedom and independence 
45,What can you do now that you couldn't do before?,Buy alcohol
46,What do you know now that you didn't know before?,How to create an app
